  team	      player	   season	season_end
124	1st Team	Nicklas Lidstrom	2002-2003	2003
125	1st Team	Al MacInnis	2002-2003	2003
126	1st Team	Martin Brodeur	2002-2003	2003
127	2nd Team	Paul Kariya		2002-2003	2003
128	2nd Team	Joe Thornton		2002-2003	2003
129	2nd Team	Milan Hejduk	2002-2003	2003
130	2nd Team	Sergei Gonchar	2002-2003	2003
131	2nd Team	Derian Hatcher	2002-2003	2003
132	2nd Team	Marty Turco	2002-2003 2003
133	1st Team	Markus Naslund	2001-2002	2002
134	1st Team	Joe Sakic	2001-2002	2002
135	1st Team	Jarome Iginla	2001-2002	2002
136	1st Team	Chris Chelios	2001-2002	2002
137	1st Team	Nicklas Lidstrom	2001-2002	2002
138	1st Team	Patrick Roy	2001-2002	2002
139	2nd Team	Brendan Shanahan	2001-2002	2002
140	2nd Team	Mats Sundin	2001-2002	2002
141	2nd Team	Bill Guerin	2001-2002	2002
142	2nd Team	Rob Blake		2001-2002	2002
143	2nd Team	Sergei Gonchar	2001-2002	2002
144	2nd Team	Jose Theodore	2001-2002	2002
145	1st Team	Patrik Elias	2000-2001	2001
146	1st Team	Joe Sakic	2000-2001	2001
147	1st Team	Jaromir Jagr	2000-2001	2001
148	1st Team	Ray Bourque	2000-2001	2001
149	1st Team	Nicklas Lidstrom	2000-2001	2001
150	1st Team	Dominik Hasek	2000-2001	2001
151	2nd Team	Luc Robitaille	2000-2001	2001
152	2nd Team	Mario Lemieux	2000-2001	2001
153	2nd Team	Pavel Bure	2000-2001	2001
154	2nd Team	Rob Blake	2000-2001	2001
155	2nd Team	Scott Stevens	2000-2001	2001
156	2nd Team	Roman Cechmanek	2000-2001	2001
157	1st Team	Brendan Shanahan	1999-2000	2000
158	1st Team	Steve Yzerman	1999-2000	2000
159	1st Team	Jaromir Jagr	1999-2000	2000
160	1st Team	Nicklas Lidstrom 1999-2000	2000
161	1st Team	Chris Pronger	1999-2000	2000
162	1st Team	Olaf Kolzig	1999-2000	2000
163	2nd Team	Paul Kariya	1999-2000	2000
164	2nd Team	Mike Modano	1999-2000	2000
165	2nd Team	Pavel Bure	1999-2000	2000
166	2nd Team	Rob Blake	1999-2000	2000
167	2nd Team  Eric Desjardins 1999-2000	2000
168	2nd Team	Roman Turek	1999-2000	2000
169	1st Team	 Paul Kariya	1998-1999	1999
170	1st Team	Peter Forsberg	1998-1999	1999
171	1st Team	Jaromir Jagr	1998-1999	1999
172	1st Team	Nicklas Lidstrom	1998-1999	1999
173	1st Team	Al MacInnis	1998-1999	1999
174	1st Team	Dominik Hasek	1998-1999	1999
175	2nd Team	John LeClair	1998-1999	1999
176	2nd Team	Alexei Yashin	1998-1999	1999
177	2nd Team	Teemu Selanne	1998-1999	1999
178	2nd Team	Ray Bourque 1998-1999	1999
179	2nd Team	Eric Desjardins	1998-1999	1999
180	2nd Team	Bryon Dafoe	1998-1999	1999
181	1st Team	John LeClair	1997-1998	1998
182	1st Team	Peter Forsberg	1997-1998	1998
183	1st Team	Jaromir Jagr	1997-1998	1998
184	1st Team	Rob Blake	1997-1998	1998
185	1st Team	Nicklas Lidstrom	1997-1998	1998
186	1st Team	Dominik Hasek	1997-1998	1998
187	2nd Team  Keith Tkachuk	1997-1998	1998
188	2nd Team	Wayne Gretzky	1997-1998	1998
189	2nd Team	Teemu Selanne	1997-1998	1998
190	2nd Team	Scott Niedermayer	1997-1998	1998
191	2nd Team	Chris Pronger	1997-1998	1998
192	2nd Team	Martin Brodeur	1997-1998	1998
193	1st Team	Paul Kariya	1996-1997	1997
194	1st Team	Mario Lemieux	1996-1997	1997
195	1st Team	Teemu Selanne	1996-1997	1997
196	1st Team	Brian Leetch	1996-1997	1997
197	1st Team	Sandis Ozolinsh	1996-1997	1997
198	1st Team	Dominik Hasek	1996-1997	1997
199	2nd Team	John LeClair	1996-1997	1997
200	2nd Team	Wayne Gretzky	1996-1997	1997
201	2nd Team	Jaromir Jagr	1996-1997 1997
202	2nd Team	Chris Chelios	1996-1997	1997
203	2nd Team	Scott Stevens	1996-1997	1997
204	2nd Team	Martin Brodeur	1996-1997	1997
205	1st Team	Paul Kariya	1995-1996	1996
206	1st Team	Mario Lemieux	1995-1996	1996
207	1st Team	Jamomir Jagr	1995-1996	1996
208	1st Team	Ray Bourque	1995-1996	1996
209	1st Team	Chris Chelios	1995-1996	1996
210	1st Team	Jim Carey	1995-1996	1996
211	2nd Team	John LeClair	1995-1996	1996
212	2nd Team	Eric Lindros	1995-1996	1996
213	2nd Team	Alexander Mogilny	1995-1996	1996
214	2nd Team	Vladimir Konstantinov	1995-1996	1996
215	2nd Team	Brian Leetch	1995-1996	1996
216	2nd Team	Chris Osgood	1995-1996	1996
217	1st Team	John LeClair	1994-1995	1995
218	1st Team	Eric Lindros 1994-1995	1995
219	1st Team	Jaromir Jagr	1994-1995	1995
220	1st Team	Chris Chelios	1994-1995	1995
221	1st Team	Paul Coffey	1994-1995	1995
222	1st Team	Dominik Hasek	1994-1995	1995
223	2nd Team	Keith Tkachuk	1994-1995	1995
224	2nd Team	Alex Zhamnov	1994-1995	1995
225	2nd Team	Theoren Fleury	1994-1995	1995
226	1st Team	Brendan Shanahan	1993-1994	1994
227	1st Team	Sergei Fedorov	1993-1994	1994
228	1st Team	Pavel Bure	1993-1994	1994
229	1st Team	Ray Bourque	1993-1994	1994
230	1st Team	Scott Stevens	1993-1994	1994
231	1st Team	Dominik Hasek	1993-1994	1994
232	2nd Team	Adam Graves	1993-1994	1994
233	2nd Team	Wayne Gretzy	1993-1994	1994
234	2nd Team	Cam Neely	1993-1994	1994
235	2nd Team	Brian Leetch	1993-1994	1994
236	2nd Team	Al MacInnis	1993-1994	1994
237	2nd Team	John Vanbiesbrouck	1993-1994	1994
238	1st Team	Luc Robitaille	1992-1993	1993
239	1st Team	Mario Lemieux	1992-1993	1993
240	1st Team	Teemu Selanne	1992-1993	1993
241	1st Team	Ray Bourque	1992-1993	1993
242	1st Team	Chris Chelios	1992-1993	1993
243	2nd Team	Kevin Stevens	1992-1993	1993
244	2nd Team	Pat LaFontaine	1992-1993	1993
245	2nd Team	Alexander Mogilny	1992-1993	1993
246	2nd Team	Al Iafrate	1992-1993	1993
247	2nd Team	Larry Murphy	1992-1993	1993
248	2nd Team	Tom Barrasso	1992-1993	1993
249	1st Team	Kevin Stevens	1991-1992	1992
250	1st Team	Mark Messier	1991-1992	1992
251	1st Team	Brett Hull	1991-1992	1992
252	1st Team	Ray Bourque	1991-1992	1992
253	1st Team	Brian Leetch	1991-1992	1992
254	1st Team	Patrick Roy	1991-1992	1992
255	2nd Team	Luc Robitaille	1991-1992	1992
256	2nd Team	Mario Lemieux	1991-1992	1992
257	2nd Team	Mark Recchi	1991-1992	1992
258	2nd Team	Phil Housley	1991-1992	1992
259	2nd Team	Scott Stevens	1991-1992	1992
260	2nd Team	Kirk McLean	1991-1992	1992
261	1st Team	Luc Robitaille	1990-1991	1991
262	1st Team	Wayne Gretzky	1990-1991	1991
263	1st Team	Brett Hull	1990-1991	1991
264	1st Team	Ray Bourque	1990-1991	1991
265	1st Team	Al MacInnis	1990-1991	1991
266	1st Team	Ed Belfour	1990-1991	1991
267	2nd Team	Kevin Stevens	1990-1991	1991
268	2nd Team	Adam Oates	1990-1991	1991
269 2nd Team Cam Neely  1990-1991 1991
270	2nd Team	Chris Chelios	1990-1991	1991
271	2nd Team	Brian Leetch	1990-1991	1991
272	2nd Team	Patrick Roy	1990-1991	1991
273 1st Team  Luck Robitaille  1989-1990 1990
274	1st Team	Mark Messier	1989-1990	1990
275	1st Team	Brett Hull	1989-1990	1990
