  team	      player	   season	season_end
598	2nd Team	Tim Horton	1966-1967	1967
599	2nd Team	Bobby Orr	1966-1967	1967
610	1st Team	Bobby Hull	1965-1966	1966
611	1st Team	Stan Mikita	1965-1966	1966
612	1st Team	Gordie Howe	1965-1966	1966
613	1st Team	Jacques Laperriere	1965-1966	1966
614	1st Team	Pierre Pilote	1965-1966	1966
615	1st Team	Glenn Hall	1965-1966	1966
616	2nd Team	Frank Mahovlich	1965-1966	1966
617	2nd Team	Jean Beliveau	1965-1966	1966
618	2nd Team	Bobby Rousseau	1965-1966	1966
619	2nd Team	Allan Stanley	1965-1966	1966
630	1st Team	Bobby Hull	1964-1965 1965
631	1st Team	Norm Ullman	1964-1965	1965
632	1st Team	Claude Provost	1964-1965	1965
633	1st Team	Jacques Laperriere	1964-1965	1965
634	1st Team	Pierre Pilote	1964-1965	1965
635	1st Team	Roger Crozier	1964-1965	1965
636	2nd Team	Frank Mahovlich	1964-1965	1965
637	2nd Team	Stan Mikita	1964-1965	1965
638	2nd Team	Gordie Howe	1964-1965	1965
639	2nd Team	Carl Brewer	1964-1965	1965
650	2nd Team	Bill Gadsby	1964-1965	1965
651	2nd Team	Charlie Hodge	1964-1965	1965
652	1st Team	Bobby Hull	1963-1964	1964
653	1st Team	Stan Mikita	1963-1964	1964
654	1st Team	Kenny Wharram	1963-1964	1964
655	1st Team	Tim Horton	1963-1964	1964
656	1st Team	Pierre Pilote	1963-1964	1964
657	1st Team	Glenn Hall	1963-1964	1964
658	2nd Team	Frank Mahovich	1963-1964	1964
659	2nd Team	Jean Beliveau	1963-1964	1964
670	2nd Team	Gordie Howe	1963-1964	1964
671	2nd Team	Jacques Laperriere	1963-1964	1964
672	2nd Team	Moose Vasko	1963-1964	1964
673	2nd Team	Charlie Hodge	1963-1964	1964
674	1st Team	Frank Mahovlich	1962-1963	1963
675	1st Team	Stan Mikita	1962-1963	1963
676	1st Team	Gordie Howe	1962-1963	1963
677	1st Team	Carl Brewer	1962-1963	1963
678	1st Team	Pierre Pilote	1962-1963	1963
679	1st Team	Glenn Hall	1962-1963	1963
690	2nd Team	Bobby Hull	1962-1963	1963
691	2nd Team	Henri Richard	1962-1963	1963
692	2nd Team	Andy Bathgate	1962-1963	1963
693	2nd Team	Tim Horton	1962-1963	1963
694	2nd Team	Moose Vasko	1962-1963	1963
695 2nd Team Terry Sawchuk 1962-1963 1963
696	1st Team	Bobby Hull	1961-1962	1962
697	1st Team	Stan Mikita	1961-1962	1962
698	1st Team	Andy Bathgate	1961-1962	1962
699	1st Team	Doug Harvey	1961-1962	1962
700	1st Team	Jean-Guy Talbot	1961-1962	1962
701	1st Team	Jacques Plante	1961-1962	1962
702	2nd Team	Frank Mahovlich	1961-1962	1962
703	2nd Team	Dave Keon	1961-1962	1962
704	2nd Team	Gordie Howe	1961-1966	1962
705	2nd Team	Carl Brewer	1961-1962	1962
706	2nd Team	Pierre Pilote	1961-1962	1962
707	2nd Team	Glenn Hall	1961-1962	1962
708	1st Team	Frank Mahovlich	1960-1961	1966
709	1st Team	Jean Beliveau	1960-1961	1966
709 1st Team	Bernie Geoffrion	1960-1961	1966
710	1st Team	Doug Harvey	1960-1961	1961
711	1st Team	Marcel Pronovost	1960-1961	1961
712	1st Team	Johnny Bower	1960-1961	1961
713	2nd Team	Dickie Moore	1960-1961	1961
714	2nd Team	Henri Richard	1960-1961	1961
715	2nd Team	Gordie Howe	1960-1961	1961
716	2nd Team	Pierre Pilote	1960-1961	1961
717	2nd Team	Allan Stanley	1960-1961	1961
718	2nd Team	Glenn Hall	1960-1961	1961
719	1st Team	Bobby Hull	1959-1960	1960
720	1st Team	Jean Beliveau	1959-1960	1960
721	1st Team	Gordie Howe	1959-1960	1960
722	1st Team	Doug Harvey	1959-1960	1960
723	1st Team	Marcel Pronovost	1959-1960	1960
724	1st Team	Glenn Hall	1959-1960	1960
725	2nd Team	Dean Prentice	1959-1960	1960
726	2nd Team	Bronco Horvath	1959-1960	1960
727	2nd Team	Bernie Geoffrion	1959-1960	1960
728	2nd Team	Pierre Pilote	1959-1960	1960
729	2nd Team	Allan Stanley	1959-1960	1960
730	2nd Team	Jacques Plante	1959-1963	1960
731	1st Team	Dickie Moore	1958-1959	1959
732	1st Team	Jean Beliveau	1958-1959	1959
733	1st Team	Andy Bathgate	1958-1959	1959
734	1st Team	Bill Gadsby	1958-1959	1959
735	1st Team	Tom Johnson	1958-1959	1959
736	1st Team	Jacques Plante	1958-1959	1959
737	2nd Team	Alex Delvecchio	1958-1959	1959
738	2nd Team	Henri Richard	1958-1959	1959
739	2nd Team	Gordie Howe	1958-1959	1959
740	2nd Team	Doug Harvey	1958-1959	1959
741	2nd Team	Marcel Pronovost	1958-1959	1959
742	2nd Team	Terry Sawchuck	1958-1959	1959
743	1st Team	Dickie Moore	1957-1958	1958
744	1st Team	Henri Richard	1957-1958	1958
745	1st Team	Gordie Howe	1957-1958	1958
746	1st Team	Bill Gadsby	1957-1958	1958
747	1st Team	Doug Harvey	1957-1958	1958
748	1st Team	Glenn Hall	1957-1958	1958
749	2nd Team	Camille Henry	1957-1958	1958
750	2nd Team	Jean Beliveau	1957-1958	1958
751	2nd Team	Andy Bathgate	1957-1958	1958
752	2nd Team	Fern Flaman	1957-1958	1958
753	2nd Team	Marcel Pronovost	1957-1958	1958
754	2nd Team	Jacques Plante	1957-1958	1958
755	1st Team	Ted Lindsay	1956-1957	1957
756	1st Team	Jean Beliveau	1956-1957	1957
757	1st Team	Gordie Howe	1956-1957	1957
758	1st Team	Doug Harvey	1956-1957	1957
759	1st Team	Red Kelly	1956-1957	1957
760	1st Team	Glenn Hall	1956-1957	1957
761	2nd Team	Real Chevrefils	1956-1957	1957
762	2nd Team	Ed Litzenberger	1956-1957	1957
763	2nd Team	Maurice Richard	1956-1957	1957
764	1st Team	Fern Flaman	1956-1957	1957
765	2nd Team	Bill Gadsby	1956-1957	1957
766	2nd Team	Jacques Plante	1956-1957	1957
767	1st Team	Ted Lindsay	1955-1956	1956
768	1st Team	Jean Beliveau	1955-1956	1956
769	1st Team	Maurice Richard	1955-1956	1956
770	1st Team	Bill Gadsby	1955-1956	1956
771	1st Team	Doug Harvey	1955-1956	1956
772	1st Team	Jacques Plante	1955-1956	1956
773	2nd Team	Bert Olmstead	1955-1956	1956
774	2nd Team	Tod Sloan	1955-1956	1956
775	2nd Team	Gordie Howe	1955-1956	1956
776	2nd Team	Tom Johnson	1955-1956	1956
777	2nd Team	Red Kelly	1955-1955	1956
778	2nd Team	Glenn Hall	1955-1956	1956
779	1st Team	Sid Smith	1954-1955	1955
780	1st Team	Jean Beliveau	1954-1955	1955
781	1st Team	Maurice Richard	1954-1955	1955
782	1st Team	Doug Harvey	1954-1955	1955
783	1st Team	Red Kelly	1954-1955	1955
784	1st Team	Harry Lumley	1954-1955	1955
785	2nd Team	Danny Lewicki	1954-1955	1955
786	2nd Team	Ken Mosdell	1954-1955	1955
787	2nd Team	Bernie Geoffrion	1954-1955	1955
788	2nd Team	Fern Flaman	1954-1955	1955
789	2nd Team	Bob Goldham	1954-1955	1955
790	2nd Team	Terry Sawchuck	1954-1955	1955
791	1st Team	Ted Lindsay	1953-1954	1954
792	1st Team	Ken Mosdell	1953-1954	1954
793	1st Team	Gordie Howe	1953-1954	1954
794	1st Team	Doug Harvey	1953-1954	1954
795	1st Team	Red Kelly	1953-1954	1954
796	1st Team	Harry Lumley	1953-1954	1954
797	2nd Team	Ed Sandford	1953-1954	1954
798	2nd Team	Ted Kennedy	1953-1954	1954
799	2nd Team	Maurice Richard	1953-1954	1954
800	2nd Team	Bill Gadsby	1953-1954	1954
801	2nd Team	Tim Horton	1953-1954	1954
802	2nd Team	Terry Sawchuck	1953-1954	1954
803	1st Team	Ted Lindsay	1952-1953	1953
804	1st Team	Fleming MacKell	1952-1953	1953
805	1st Team	Gordie Howe	1952-1953	1953
806	1st Team	Doug Harvey	1952-1953	1953
807	1st Team	Red Kelly	1952-1953	1953
808	1st Team	Terry Sawchuck	1952-1953	1953
809	2nd Team	Bert Olmstead	1952-1953	1953
810	2nd Team	Alex Delvecchio	1952-1953	1953
811	2nd Team	Maurice Richard	1952-1953	1953
812	2nd Team	Bill Gadsby	1952-1953	1953
813	2nd Team	Bill Quackenbush	1952-1953	1953
814	2nd Team	Gerry McNeil	1952-1953	1953
815	1st Team	Ted Lindsay	1951-1952	1952
816	1st Team	Elmer Lach	1951-1952	1952
817	1st Team	Gordie Howe	1951-1952	1952
818	1st Team	Doug Harvey	1951-1952	1952
819	1st Team	Red Kelly	1951-1952	1952
820	1st Team	Terry Sawchuk	1951-1952	1952
821	2nd Team	Sid Smith	1951-1952	1952
822	2nd Team	Milt Schmidt	1951-1952	1952
823	2nd Team	Maurice Richard	1951-1952	1952
824	2nd Team	Hy Buller	1951-1952	1952
825	2nd Team	Jimmy Thomson	1951-1952	1952
826	2nd Team	Jim Henry	1951-1952	1952
827	1st Team	Ted Lindsay	1950-1951	1951
828	1st Team	Milt Schmidt	1950-1951	1951
829	1st Team	Gordie Howe	1950-1951	1951
830	1st Team	Red Kelly	1950-1951	1951
831	1st Team	Bill Quackenbush	1950-1951	1951
832	1st Team	Terry Sawchuk	1950-1951	1951
833	2nd Team	Sid Smith	1950-1951	1951
834	2nd Team	Sid Abel	1950-1951	1951
835	2nd Team	Ted Kennedy	1950-1951 1951
836	2nd Team	Maurice Richard	1950-1951	1951
837	2nd Team	Leo Reise	1950-1951	1951
838	2nd Team	Jimmary Thomson	1950-1951	1951
839	2nd Team	Chuck Rayner	1950-1951	1951
840	1st Team	Paul Arizin	1951-1952	1952
841	1st Team	Bob Cousy	1951-1952	1952
842	1st Team	Ed Macauley	1951-1952	1952
843	1st Team	George Mikan	1951-1952	1952
844	2nd Team	Larry Foust	1951-1952	1952
845	2nd Team	Vern Mikkelsen	1951-1952	1952
846	2nd Team	Andy Phillip	1951-1952	1952
847	2nd Team	Jim Pollard	1951-1952	1952
848	2nd Team	Bobby Wanzer	1951-1952	1952
849	1st Team	Ralph Beard	1950-1951	1951
850	1st Team	Bob Davies	1950-1951	1951
851	1st Team	Alex Groza	1950-1951	1951
852	1st Team	Ed Macauley	1950-1951	1951
853	1st Team	George Mikan	1950-1951	1951
854	2nd Team	Frankie Brian	1950-1951	1951
855	2nd Team	Joe Fulks	1950-1951	1951
856	2nd Team	Dick McGuire	1950-1951	1951
857	2nd Team	Vern Mikkelsen	1950-1951	1951
858	2nd Team	Dolph Schayes	1950-1951	1951
859	1st Team	Bob Davies	1949-1950	1950
860	1st Team	Alex Groza	1949-1950	1950
861	1st Team	George Mikan	1949-1950	1950
862	1st Team	Jim Pollard	1949-1950	1950
863	1st Team	Max Zaslofsky	1949-1950	1950
864	2nd Team	Ralph Beard	1949-1950	1950
865	2nd Team	Frankie Brian	1949-1950	1950
866	2nd Team	Al Cervi	1949-1950	1950
867	2nd Team	Fred Schaus	1949-1950	1950
868	2nd Team	Dolph Schayes	1949-1950	1950
